name,db_id,industry,chairman,secretary,address,market,lat,lon,street
"Brazilian Street Railway, L",41337,MISCELLANEOUS,W. S. Andrews.,,"19 Great Winchester street, E.C.",London.*,51.51561400000001,-0.08362,Great Winchester street
"United Lankat Plantns., L.",49893,MISCELLANEOUS,"Sir G. Dillen, M.P.",E. Dickens.,"Messrs Dutton Bros. 9 Old Broad street, E.C.","London, Liverpool",51.515554,-0.08332,Old Broad street
"United Mexican, Limited",49938,MISCELLANEOUS,Lord Thurlow.,J. O. Unwin.,"53 New Broad street, E.C.",London.,51.516118,-0.08294,New Broad street
"West African Telegraph, L.",50379,MISCELLANEOUS,Sir J. Pender.,W. Payton,"50 Old Broad street, E.C.",London.,51.515800000000006,-0.0825,Old Broad street
"W.C. of America Telegrph, L.",50139,MISCELLANEOUS,A. Maudall.,F. L. Robinson.,"98 Cannon street, E.C.",London.,51.512088,-0.08804,Cannon street
"Calais Tramways, Limited",41963,MISCELLANEOUS,John Morris.,J. Anderson.,"51 Moorgate street, E.C.",London.,51.516806,-0.08698,Moorgate street
"Buenos Ayres (New) Gas, L.",41846,MISCELLANEOUS,J. W. Andréws.,E. C. Price.,"57 Moorgate st, E.C.",London.,51.516842000000004,-0.08685999999999999,Moorgate st
"Lautaro Nitrate, L.",45337,MISCELLANEOUS,E. C. Morgan.,Chas. Akers.,"1 Abchurch lane, E.C.",London.,51.511806,-0.08548,Abchurch lane
"City Buenos Ayres Tram., L",42398,MISCELLANEOUS,B. Isaac.,John Heaton.,"1 Great Winchester street, E.C.",London.,51.515506,-0.08398,Great Winchester street
Ferreira,43784,MISCELLANEOUS,A. T. Lambert.,W. W. Alison.,"Copthall bildngs, Throgmorton st., E.C.",London.,51.515,-0.086,Throgmorton st
Garfield,43961,MISCELLANEOUS,E. Edinger.,Ch. Selby.,"29 Queen Victoria street, E.C.",Sheffield.,51.512174,-0.09242,Queen Victoria street
"Sadler & Co., ""B"" and ""C""",48323,MISCELLANEOUS,J. M. Gillies.,J. W. Alison.,"574 Old Broad street, E.C.",London.*,51.515944000000005,-0.08202000000000001,Old Broad street
"Vienna General Omnibus, L",50101,MISCELLANEOUS,A.C. Price.,R. T. Fewings.,1 Great Winchester st. Woolwich London.,London.,51.515506,-0.08398,Great Winchester st
Investment Trust Corp Pref.,44977,MISCELLANEOUS,F. Cox.,F. Frasd.,"7 Lothbury, E.C.",London.,51.5145,-0.088,Lothbury
"British and Foreign Marine, Limited (2 l c)",20200,INSURANCE COMPANIES,"Right Hon. A.J. Mundella, M.P.",T. Cornish,"81 Gracechurch street, E.C.",London,51.512986000000005,-0.08088000000000001,Gracechurch street
"South-Eastern deb. stock, 4 %",34173,RAILWAYS,,R. C. Vaughan,"76 Cornhill, E.C.",London,51.5135,-0.083,Cornhill
"City of Glas. Union, 5 % pref.",31012,RAILWAYS,"L. H. Isaacs, M.P.",J. Filby,"11 St Helen's place, E.C.","Lond., Edinburgh &c.",51.515566,-0.08178,St Helen's place
"North. West Argentine (L.), 7 % Pref.",33576,RAILWAYS,S. Boulter,H. Milton,"22 Old Broad street, E.C.",London,51.515632000000004,-0.08306000000000001,Old Broad street
"Stock Convn. & Invest. Tst., L.",49242,MISCELLANEOUS,F. Bennoch,"A. W. Ray, M.-D.","52 Queen Victoria street, E.C.",,51.512312,-0.09196,Queen Victoria street
"Price's Patent Candle, Lim.",47773,MISCELLANEOUS,W. Fowler,W. Aherne,"Prince's street, Bank, E.C.",London,51.514,-0.087,Prince's street
"London Scottish American Trust, L., preferred",45640,MISCELLANEOUS,Lord Hamilton,H. Ansell,"113 Cannon street, E.C.","Lond., Edinburgh &c.",51.511578,-0.08974,Cannon street
"Lond. & S.-Western ""A"" 4 % deb. stk.",32545,RAILWAYS,Sir John Lubbock,J. Young,"57 Lombard street, E.C.",London,51.513342,-0.08585999999999999,Lombard street
"Coats (J. & P.), Limited",42565,MISCELLANEOUS,R. H. Benson,J. C. Brougham,"3 Cornhill, E.C.",London,51.5135,-0.083,Cornhill
"Ruston, Proctor & Co., Lim.",48270,MISCELLANEOUS,E. H. Palmer.,Walter Lean.,"4 Lothbury, E.C.","Glasgow, Edinb'gh, London.",51.5145,-0.088,Lothbury
"Bell's Asbestos, Limited",40954,MISCELLANEOUS,John Morris.,J. Anderson,"Men. Off. T'hy'd 3 1 Moorgate street, E.C.",London.,51.516506,-0.08797999999999999,Moorgate street
"R. Plate & Gn. Invest. Trst., L.",47879,MISCELLANEOUS,John Morris.,J. Anderson,"31 Moorgate street, E.C.",London.,51.516686,-0.08738,Moorgate street
"Scottish Invest. Trst., L. pf.",48530,MISCELLANEOUS,John Morris.,J. Anderson,"31 Moorgate street, E.C.",London.,51.516686,-0.08738,Moorgate street
"Electric Construction, L.",43630,MISCELLANEOUS,Marquis of Tweeddale.,,"2 and 13 St Nicholas lane, E.C.",London.,51.512578000000005,-0.08574,St Nicholas lane
Submarine Cables' Trust,49317,MISCELLANEOUS,"Sir J. Pender, M.P.",Lewis Wells.,"30 Old Broad street, E.C.",London.,51.51568,-0.0829,Old Broad street
"Lincoln & Lindsey Banking Company, Limited",20555,BANKING COMPANIES,T. C. Fletcher.,R. Weston.,"9 King st., High st., Lincoln.",Sheffield.*,51.514054,-0.09482,King st
United States Rolling Stock,49962,MISCELLANEOUS,J.M.Douglas.,"D.Cornfoot, Agent","31 Lombard street, E.C.",London.,51.513186,-0.08638,Lombard street
"Anglo-Chilian Nitrate and Rly., L., 7 % cum. pref.",40291,MISCELLANEOUS,W. Mcandrews.,Noel Ware.,"19 Gracechurch street, E.C.",London.,51.512614000000006,-0.08212,Gracechurch street
"Bahia Cntrl. Sugar Fac., Lim.",40732,MISCELLANEOUS,Sir P. R. Pollock.,F.Johnason.,"io New Broad street, E.C.",London.,51.5158,-0.084,io New Broad street
"Barnagore Jute Factory, L.",40820,MISCELLANEOUS,P. Richardson.,Wm. Horsley.,"28 Fenchurch street, E.C.",London.*,51.512168,-0.07844,Fenchurch street
"Campbell, Robert, & Sons, L.",42056,MISCELLANEOUS,John Bell.,R. L. McLaren,"18 Southwark street, E.C.",Lon on.,51.505108,-0.09264,Southwark street
"Braby, Frederick, & Co., L.",41288,MISCELLANEOUS,F. Cox.,W. J. Tanner.,"Broad street avenue, E.C.",London.,51.5158,-0.084,Broad street avenue
"Liebig's Extract of Meat, L.",45463,MISCELLANEOUS,P. Vanderlyl.,W. Barrett.,"3 Great Winchester street, E.C.",London.,51.515518,-0.08394,Great Winchester street
"Pim Brothers, Limited",47657,MISCELLANEOUS,E. Redsell.,T. E. Smith.,"47 New Broad street, E.C.",London.,51.516082,-0.08306000000000001,New Broad street
"Broxburn Oil, Limited, ord.",41783,MISCELLANEOUS,H. Bell.,"W. Kennedy, M.-D.","28 Royal Exchange square, Glasgow.","Glasg., Edinburgh",51.513668,-0.08444,Royal Exchange square
"Cape Copper, Limited",42108,MISCELLANEOUS,,D. Todd.,"20 New Broad street, E.C.",London.*,51.51592,-0.08360000000000001,New Broad street
"Clippen's Oil, Limited",42545,MISCELLANEOUS,R. R. Carew.,W. A. Godwin.,"159 Fenchurch street, E.C.",London.,51.512354,-0.07782,Fenchurch street
"City of London Brewery, L., 6 % minimum preferred.",42450,MISCELLANEOUS,E. J. Swaan.,H. G. Marshall.,"20 Broad street, Bristol.",Bristol.*,51.51592,-0.08360000000000001,Broad street
"Holmes Oil, Limited",44642,MISCELLANEOUS,T. Mackinnon.,James Arown.,"27 Royal Exchange square, Glasgow.",Glasgow.,51.513662000000004,-0.08446000000000001,Royal Exchange square
"Colorado Silver, Limited",42628,MISCELLANEOUS,R. Gillespie.,R. Brown.,"16 Leadenhall street, E.C.",London.,51.512596,-0.07968,Leadenhall street
"Crosses and Winkworth, L",42944,MISCELLANEOUS,Col.J.A.North.,D. A. Cooper.,"King street, Liverpool.",Liverpool.,51.514,-0.095,King street
"Davy Brothers, Lim.",43068,MISCELLANEOUS,G. F. Routledge.,T. E. Devos.,"20 Cannon street, E.C.",Sheffield.*,51.51162,-0.0896,Cannon street
"Elmore's Wire Manufact., L.",43649,MISCELLANEOUS,Sir J. H. Morris.,J. Shermer.,"64 Cannon street, E.C.",London.,51.511883999999995,-0.08872,Cannon street
"Glenboig Union Fire-Clay, L.",44134,MISCELLANEOUS,J. Wilson.,"John Trench, S.","106 West Regent street, Glasgow.",Glasgow.*,51.510036,-0.13688,West Regent street
"Goulding, W. & H. M., Lim.",44207,MISCELLANEOUS,A. Scott.,W. B. Harvey.,"149 Leadenhall street, E.C.",London.*,51.512794,-0.07902,Leadenhall street
"Don Pedro Gold Mining, L.",43232,MISCELLANEOUS,"Wm. J. Goulding, G. R. Meyer",,"The Glen, Cork. 23 Moorgate street, E.C.","Cork, Dublin, London.",51.516638,-0.08753999999999999,Moorgate street
"Tolima, Lim. ""A shares""",49624,MISCELLANEOUS,J. Gow.,F. Willey,"8 Regent street, S.W.",London.*,51.510048,-0.13684000000000002,Regent street
Impl. Col. Fin. & Agency,44802,MISCELLANEOUS,Dr. B. Knight.,T. Newson.,"56 Threadneedle street, E.C.",London.,51.514336,-0.08288000000000001,Threadneedle street
"Improvd. Wood Pavement, L.",44862,MISCELLANEOUS,A. K. Grentell.,,"W. Mobile, 46 Queen Victoria street, E.C.",London.*,51.512276,-0.09208,Queen Victoria street
"Westminstr Elec. Supply, L",50439,MISCELLANEOUS,"P. H. Evans, M.P. S. Gorringe.",,"70 Gracechurch street, E.C.",London.,51.51292,-0.0811,Gracechurch street
"Linoleum Manufacturing, L.",45482,MISCELLANEOUS,Maj. J. Gorman. E. B. Presslau,,"d.} 144 Queen Victoria street, E.C.",London.*,51.512264,-0.09212,Queen Victoria street
Rosario Nitrate,48179,MISCELLANEOUS,Col.J.T. North. D. C. Cooper,,"King street, Liverpool.",,51.514,-0.095,King street
"London & Tilbury Lightrg., L.",45705,MISCELLANEOUS,"E. Crayford. G. Harry Gordon, S.",,"50 Mark lane, E.C.",London.,51.5118,-0.079,Mark lane
"San Donato Nitrate, Ltd.",48371,MISCELLANEOUS,M. Nicholson.,W. J. Petrie.,"9 Gracechurch street, E.C.",London.,51.512554,-0.08232,Gracechurch street
"London & San Francisco, L.",20609,BANKING COMPANIES,,J. Collenette.,"J. Mincing lane, E.C.",London.,51.5118,-0.081,Mincing lane
"London Stereoscopic, &c., L.",45799,MISCELLANEOUS,H. J. Kennard.,S. M. Clark.,"54 Cheapside, E.C.",London.*,51.514,-0.0935,Cheapside
"Westhead, J. P., & Co., Lim.",50438,MISCELLANEOUS,,,"7 and 8 Great Winchester street,","London, Glasgow.",51.515548,-0.08384000000000001,Great Winchester street
Mosman Gold,46610,MISCELLANEOUS,A. J. Malcolm.,A. Sindall,"27 Lombard street, E.C.",London.,51.513162,-0.08646,Lombard street
St John and Maine,34311,RAILWAYS,R. Milburn.,W. C. Gray.,"148 Leadenhall street, E.C.",London.*,51.512788,-0.07904,Leadenhall street
"Morgan Crucible, Limited",46578,MISCELLANEOUS,G. H. Morgan. H.G.Micheson,,"s.} 3 Great Winchester street, E.C.",London.,51.515518,-0.08394,Great Winchester street
"National Telephone, L., 1st 6 % preference",46750,MISCELLANEOUS,Marq. Tweedale. J. S. Wilkes,,"M.} 1 Queen Victoria street, E.C.",London.*,51.512006,-0.09298,Queen Victoria street
"Nettlefolds, Limited",46821,MISCELLANEOUS,Fredk. Nettlefold.,R. Parker.,"16 Broad street, Birmingham.",Birmingham.,51.515896,-0.08368,Broad street
Espirito Santo and Car. debs.,31497,RAILWAYS,T. C. Wright.,W. H. Withnall.,"31 Threadneedle street, E.C.",London.,51.514186,-0.08338000000000001,Threadneedle street
"San Pablo Nitrate, Limited",48378,MISCELLANEOUS,Col. J. Nepean.,J. C. Fox.,"16 King street, Liverpool.",,51.514096,-0.09468,King street
Central Argentine 6 % deb. Stock,30800,RAILWAYS,J. R. Ravenhill.,James Ball.,"St Helen's place, Bishopsgate",London.,51.5155,-0.082,St Helen's place
"Sheff. Forge & Roll. Mills, Limited",48618,MISCELLANEOUS,R. Foster.,"J. Bulkley, M. & S.","48 Moorgate street, E.C.",London.,51.516788,-0.08703999999999999,Moorgate street
"Young's Paraffin. L. & M Oil, L",50670,MISCELLANEOUS,A. Balfour.,R. R. Paul.,"571 Old Broad street, E.C.",London.,51.515926,-0.08208,Old Broad street
"Primitiva Nitrate, Limited",47800,MISCELLANEOUS,R. Harvey.,W. J. Petrie.,"8 Gracechurch street, E.C.",London.,51.512548,-0.08234000000000001,Gracechurch street
Santa Fe (City of) 6 % Stg. Bds.,48405,MISCELLANEOUS,Ed Harvey.,R. Bulkeley.,"8 Gracechurch street, E.C.",London.,51.512548,-0.08234000000000001,Gracechurch street
Glencairn ?,44135,MISCELLANEOUS,P.H. Evans.,S. Horringe. [S],"8 Gracechurch street, E.C.","London, Liverpl.",51.512548,-0.08234000000000001,Gracechurch street
Smedley's Hyd. (Matlock) L.,48873,MISCELLANEOUS,L.T. M. Mason.,P. C. Edwards.,"5 St Peter's alley, Cornhill, E.C.",London.,51.5135,-0.083,Cornhill
"Scottsh Austrln Invstmt, L.",48467,MISCELLANEOUS,W. Bird.,D. Maclean.,"69 Cornhill, E.C.",London.*,51.5135,-0.083,Cornhill
"Walker, Parker, & Co., L., 6 % Cumulative Pref",50197,MISCELLANEOUS,W. W. Weaker.,,"93 Gracechurch street, E.C., and J. Barrett Lennard.",,51.513058,-0.08064,Gracechurch street
Jubilee ?,45081,MISCELLANEOUS,K. Hopkins.,"E. Habben, S.","7, Winder; 3 and 5 Gracechurch streets, E.C.",London.,51.512530000000005,-0.0824,Gracechurch street
Durban-Roodepoort ?,43363,MISCELLANEOUS,R. A. Poultice.,"J. W. Hutton, S.","62 Gracechurch street, E.C.",,51.512872,-0.08126,Gracechurch street
"Pestarena United Gold, Limited",47618,MISCELLANEOUS,J. Higson.,"W. Whitaker, S.","86 King street, Manchester.","London, Mancstr.",51.514516,-0.09328,King street
Day Dawn,43078,MISCELLANEOUS,G. Hopkins.,"J. Winser, S.","5 Gracechurch street, E.C.",,51.512530000000005,-0.0824,Gracechurch street
Nundydroog,47166,MISCELLANEOUS,J.E.D.D.Hartland.,"J. E. Dawson, S.","4 Devonshire chambers, Bishopsgate st., Without.",London.,51.5155,-0.0815,Bishopsgate st
"West Bassett, (Illogan)",50384,MISCELLANEOUS,"Agents, Baring Bros. and Co., S.",,8 Bishopsgate street Within.,London.,51.515548,-0.08134000000000001,Bishopsgate street
"Fore Street Warehouse, Lim.",43839,MISCELLANEOUS,E. H. Faviell.,"W. Garduer, S.","45 Leadenhall street, E.C.",London.,51.51277,-0.0791,Leadenhall street
"Sierra Buttes Gold, Lim.",48815,MISCELLANEOUS,Count de Torre Diaz.,"D. Urquhart, S.","74 Gracechurch street, E.C.",,51.512944000000005,-0.08102000000000001,Gracechurch street
"Maudslay, Sons, & Field, L., Pf",46102,MISCELLANEOUS,James Mason.,"J. G. Parry, S.","87 Cannon street, E.C.",London.,51.512021999999995,-0.08825999999999999,Cannon street
"Moodie's Gold Mining & Exploration, Ltd.",46569,MISCELLANEOUS,W. de la Rue.,"Guy Robins, S.","101 Leadenhall street, E.C.",London.,51.512506,-0.07998,Leadenhall street
New Brunswick 1st mort. 5 % bnds.,33219,RAILWAYS,J. R. Chipperton.,A.H. Oxenford,"5 Angel court, E.C.",,51.51483,-0.0854,Angel court
"Maxim-Nordenfelt Guns & Ammunition, Limited",46113,MISCELLANEOUS,L. Fisher.,E. McNeill,"Old Broad street, E.C.",,51.5155,-0.0835,Old Broad street
"New South Wales Mortgage, Loan, and Agency, Lim.",46910,MISCELLANEOUS,Hon.G.T.Kenyon.,D. Mitchell,"Queen Victoria street, E.C.",,51.512,-0.093,Queen Victoria street
Indo-European Telegrph. L,44920,MISCELLANEOUS,"J. D. Dyason, C.M.G. W. E. Goode",,"Queen Victoria street, E.C.",London.,51.512,-0.093,Queen Victoria street
"Richmond Consolidated Mining, Limited",48045,MISCELLANEOUS,,B. McNeill,"25A Old Broad street, E.C.",London.,51.51565,-0.083,Old Broad street
Beira Alta (Portuguese) 3 % obligns.,30330,RAILWAYS,A. Bischoffberger.,J.B. Pitman,"10 Clements lane, E.C.",London,51.51256,-0.0853,Clements lane
"Rio Tinto 5 % mortgage bonds, 1880",48085,MISCELLANEOUS,H.M. Matheson.,G.N. Thomson,"30 St Swithin's lane, E.C.","London, &c.",51.51218,-0.08639999999999999,St Swithin's lane
Somerset & Dorset Bath Exten. 5 %,34098,RAILWAYS,Fred. Tendron.,John Saul,"138 Leadenhall street, E.C.",London.,51.512728,-0.07924,Leadenhall street
West of England Fire & Life,21051,INSURANCE COMPANIES,"C. A. V. Conybeare, M.P.",S. C. Fox,"76 Cornhill, E.C.",London. [Earg-,51.5135,-0.083,Cornhill
"South Indian 4 1/2 % per. deb. stock, gtd.",34134,RAILWAYS,H. J. Marshale.,H. Clarke,"4 Nicholas lane, E.C.",London.,51.512524000000006,-0.08592,Nicholas lane
Isle of Wight,32274,RAILWAYS,Wm. Gen. Hartsford. C.E.,W.M. Jackson,"38 Lombard street, E.C.",,51.513228,-0.08624,Lombard street
"Panulcillo Copper Co., Limited, ord",47429,MISCELLANEOUS,R. L. Barrow.,W. W. Holmes,"18 King st., Cheapside, E.C.",London.*,51.514108,-0.09464,King st
United N. Jersey Cnl. & Rl. 6 % stl. 1894,34446,RAILWAYS,J. G. Johnson.,David Greene,"3 Great Winchester street, E.C.",,51.515518,-0.08394,Great Winchester street
"Rudge Cycle, Limited",48244,MISCELLANEOUS,J. W. Johns.,C. L. Emmott,"61 Moorgate st., Leadenhall buildings, E.C.",,51.516866,-0.08678,Moorgate st
West Ham Corp. 3 1/4 % stock,50398,MISCELLANEOUS,R. Cowling.,H. M. Trower,"34 Nicholas lane, Lombard street, E.C.",London.,51.512704,-0.08532,Nicholas lane
"East Argentine, L., ? 6 % deb. stock",31327,RAILWAYS,,W. F. Owen,"35 Queen Victoria street, E.C.",,51.51221,-0.0923,Queen Victoria street
"Greenwood & Batley, L, ord",44325,MISCELLANEOUS,Lord Gifford.,C. H. Weatherley,"19 St Swithin's lane, E.C.",London.,51.512114000000004,-0.08661999999999999,St Swithin's lane
